"","countyfips","statefip","year","population","anti_racial.max","anti_racial.sum","anti_racial.mean","racial_crime_diff","racial_crime_per_cap","racial_crime_per_1000"
"8095",135,37,2010,133801,0,0,0.488888888888889,-0.488888888888889,0,0
"8096",135,37,2011,133801,1,2,0.488888888888889,1.51111111111111,1.49475713933379e-05,0.0149475713933379
"8097",135,37,2012,133801,1,1,0.488888888888889,0.511111111111111,7.47378569666893e-06,0.00747378569666893
"8098",135,37,2013,133801,1,2,0.488888888888889,1.51111111111111,1.49475713933379e-05,0.0149475713933379
"8099",135,37,2014,133801,1,4,0.488888888888889,3.51111111111111,2.98951427866757e-05,0.0298951427866757
"8100",135,37,2015,133801,1,2,0.488888888888889,1.51111111111111,1.49475713933379e-05,0.0149475713933379
"8101",135,37,2016,133801,1,1,0.488888888888889,0.511111111111111,7.47378569666893e-06,0.00747378569666893
"8102",135,39,2007,42270,0,0,0.454545454545455,-0.454545454545455,0,0
"8103",135,39,2008,42270,1,2,0.454545454545455,1.54545454545455,4.73148805299267e-05,0.0473148805299267
"8104",135,39,2011,42270,1,1,0.454545454545455,0.545454545454545,2.36574402649633e-05,0.0236574402649633
"8105",135,39,2012,42270,1,2,0.454545454545455,1.54545454545455,4.73148805299267e-05,0.0473148805299267
"8106",135,39,2013,42270,0,0,0.454545454545455,-0.454545454545455,0,0
"8107",135,39,2014,42270,0,0,0.454545454545455,-0.454545454545455,0,0
"8108",135,39,2015,42270,0,0,0.454545454545455,-0.454545454545455,0,0
"8109",135,40,2007,42391,1,2,0.857142857142857,1.14285714285714,4.71798259064424e-05,0.0471798259064424
"8110",135,40,2008,42391,1,1,0.857142857142857,0.142857142857143,2.35899129532212e-05,0.0235899129532212
"8111",135,40,2009,42391,0,0,0.857142857142857,-0.857142857142857,0,0
"8112",135,40,2010,42391,1,1,0.857142857142857,0.142857142857143,2.35899129532212e-05,0.0235899129532212
"8113",135,40,2012,42391,1,1,0.857142857142857,0.142857142857143,2.35899129532212e-05,0.0235899129532212
"8114",135,40,2015,42391,1,1,0.857142857142857,0.142857142857143,2.35899129532212e-05,0.0235899129532212
"8115",135,46,2009,22438,1,1,0.2,0.8,4.45672519832427e-05,0.0445672519832427
"8116",135,46,2011,22438,0,0,0.2,-0.2,0,0
"8117",135,48,2009,137130,0,0,0.25,-0.25,0,0
"8118",135,48,2010,137130,0,0,0.25,-0.25,0,0
"8119",135,48,2014,137130,1,2,0.25,1.75,1.45847006490192e-05,0.0145847006490192
"8120",135,48,2015,137130,0,0,0.25,-0.25,0,0
"8121",135,48,2016,137130,1,1,0.25,0.75,7.29235032450959e-06,0.00729235032450959
"8122",135,51,2005,15853,1,1,0.8,0.2,6.30795433041065e-05,0.0630795433041065
"8123",135,51,2006,15853,1,1,0.8,0.2,6.30795433041065e-05,0.0630795433041065
"8124",135,51,2012,15853,1,2,0.8,1.2,0.000126159086608213,0.126159086608213
"8125",135,55,2007,52410,1,1,1,0,1.90803281816447e-05,0.0190803281816447
"8126",137,17,2009,35547,0,0,0,0,0,0
"8127",137,18,2015,28818,0,0,0,0,0,0
"8128",137,19,2005,10740,1,1,1,0,9.31098696461825e-05,0.0931098696461825
"8129",137,21,2014,24742,1,1,1,0,4.04171045186323e-05,0.0404171045186323
"8130",137,26,2005,24164,1,1,0.714285714285714,0.285714285714286,4.13838768415825e-05,0.0413838768415825
"8131",137,26,2006,24164,1,1,0.714285714285714,0.285714285714286,4.13838768415825e-05,0.0413838768415825
"8132",137,26,2008,24164,1,1,0.714285714285714,0.285714285714286,4.13838768415825e-05,0.0413838768415825
"8133",137,26,2013,24164,0,0,0.714285714285714,-0.714285714285714,0,0
"8134",137,26,2015,24164,1,1,0.714285714285714,0.285714285714286,4.13838768415825e-05,0.0413838768415825
"8135",137,26,2016,24164,1,1,0.714285714285714,0.285714285714286,4.13838768415825e-05,0.0413838768415825
