"","countyfips","statefip","year","anti_native.max","anti_native.sum"
"336","003","32",2011,0,0
"337","003","32",2012,0,0
"338","003","32",2013,0,0
"339","003","32",2014,0,0
"340","003","32",2015,0,0
"341","003","32",2016,0,0
"342","003","33",2005,0,0
"343","003","33",2010,0,0
"344","003","33",2012,0,0
"345","003","33",2013,0,0
"346","003","34",2005,0,0
"347","003","34",2006,0,0
"348","003","34",2007,1,1
"349","003","34",2008,0,0
"350","003","34",2009,0,0
"351","003","34",2010,0,0
"352","003","34",2011,0,0
"353","003","34",2012,0,0
"354","003","34",2013,0,0
"355","003","34",2014,0,0
"356","003","34",2015,0,0
"357","003","34",2016,0,0
"358","003","36",2007,0,0
"359","003","36",2009,0,0
"360","003","36",2013,1,1
"361","003","36",2016,0,0
"362","003","38",2013,0,0
"363","003","38",2015,0,0
"364","003","39",2005,0,0
"365","003","39",2008,0,0
"366","003","39",2009,0,0
"367","003","39",2014,0,0
"368","003","41",2005,0,0
"369","003","41",2006,0,0
"370","003","41",2007,0,0
"371","003","41",2008,0,0
"372","003","41",2009,0,0
"373","003","41",2010,0,0
"374","003","41",2011,0,0
"375","003","41",2012,0,0
"376","003","41",2015,0,0
"377","003","41",2016,0,0
"378","003","42",2005,0,0
"379","003","42",2006,0,0
"380","003","42",2007,0,0
"381","003","42",2008,0,0
"382","003","42",2009,0,0
"383","003","42",2010,0,0
"384","003","42",2011,0,0
"385","003","42",2012,0,0
"386","003","42",2013,0,0
"387","003","42",2014,0,0
"388","003","42",2015,0,0
"389","003","42",2016,0,0
"390","003","44",2005,0,0
"391","003","44",2006,0,0
"392","003","44",2007,0,0
"393","003","44",2008,0,0
"394","003","44",2009,0,0
"395","003","44",2010,0,0
"396","003","44",2011,0,0
"397","003","44",2012,0,0
"398","003","44",2013,0,0
"399","003","44",2014,0,0
"400","003","44",2015,0,0
"401","003","45",2005,0,0
"402","003","45",2006,0,0
"403","003","45",2007,0,0
"404","003","45",2008,0,0
"405","003","45",2009,0,0
"406","003","45",2010,0,0
"407","003","45",2011,0,0
"408","003","45",2013,0,0
"409","003","45",2015,0,0
"410","003","47",2008,0,0
"411","003","47",2009,0,0
"412","003","47",2010,0,0
"413","003","47",2013,0,0
"414","003","47",2015,0,0
"415","003","49",2011,0,0
"416","003","49",2012,1,1
"417","003","49",2013,0,0
"418","003","49",2014,0,0
"419","003","50",2005,0,0
"420","003","50",2007,0,0
"421","003","50",2008,0,0
"422","003","50",2009,0,0
"423","003","50",2010,0,0
"424","003","50",2013,0,0
"425","003","50",2014,0,0
"426","003","51",2005,0,0
"427","003","51",2006,0,0
"428","003","51",2007,0,0
"429","003","51",2008,1,1
"430","003","51",2009,0,0
"431","003","51",2010,0,0
"432","003","51",2011,0,0
"433","003","51",2012,0,0
"434","003","51",2013,0,0
"435","003","51",2014,0,0
"436","003","51",2015,0,0
"437","003","51",2016,0,0
"438","003","53",2006,0,0
"439","003","53",2007,0,0
"440","003","53",2008,0,0
"441","003","53",2013,0,0
"442","003","53",2015,0,0
"443","003","54",2007,0,0
"444","003","54",2008,0,0
"445","003","54",2009,0,0
"446","003","54",2010,0,0
"447","003","54",2012,1,1
"448","003","54",2013,0,0
"449","003","54",2015,0,0
"450","003","54",2016,0,0
"451","003","55",2015,0,0
"452","005","04",2005,1,1
"453","005","04",2006,0,0
"454","005","04",2007,0,0
"455","005","04",2008,1,1
"456","005","04",2009,0,0
"457","005","04",2010,0,0
"458","005","04",2012,0,0
"459","005","04",2013,0,0
"460","005","04",2014,0,0
"461","005","04",2015,0,0
"462","005","04",2016,0,0
"463","005","05",2005,1,1
"464","005","05",2014,0,0
"465","005","06",2005,0,0
"466","005","06",2006,0,0
"467","005","06",2007,0,0
"468","005","06",2008,0,0
"469","005","06",2009,0,0
"470","005","06",2011,0,0
"471","005","06",2012,0,0
"472","005","06",2013,0,0
"473","005","06",2014,0,0
"474","005","06",2015,0,0
"475","005","06",2016,0,0
"476","005","08",2005,0,0
"477","005","08",2006,0,0
"478","005","08",2007,0,0
"479","005","08",2008,0,0
"480","005","08",2009,0,0
"481","005","08",2010,0,0
"482","005","08",2011,1,1
"483","005","08",2012,0,0
"484","005","08",2013,1,2
"485","005","08",2014,0,0
"486","005","08",2015,0,0
"487","005","08",2016,0,0
"488","005","09",2005,0,0
"489","005","09",2006,0,0
"490","005","09",2007,0,0
"491","005","09",2008,0,0
"492","005","09",2009,1,1
"493","005","09",2010,0,0
"494","005","09",2011,0,0
"495","005","09",2012,0,0
"496","005","09",2013,0,0
"497","005","09",2014,0,0
"498","005","09",2015,0,0
"499","005","09",2016,0,0
"500","005","10",2005,0,0
"501","005","10",2006,0,0
"502","005","10",2007,0,0
"503","005","10",2008,0,0
"504","005","10",2009,0,0
"505","005","10",2010,0,0
"506","005","10",2012,0,0
"507","005","10",2013,0,0
"508","005","10",2014,0,0
"509","005","10",2015,0,0
"510","005","10",2016,0,0
"511","005","12",2005,0,0
"512","005","12",2006,0,0
"513","005","12",2007,0,0
"514","005","12",2008,0,0
"515","005","12",2009,0,0
"516","005","12",2010,0,0
"517","005","12",2011,0,0
"518","005","12",2013,0,0
"519","005","16",2006,0,0
"520","005","16",2007,0,0
"521","005","16",2008,0,0
"522","005","16",2009,0,0
"523","005","16",2013,0,0
"524","005","16",2014,0,0
"525","005","16",2015,1,1
"526","005","16",2016,0,0
"527","005","17",2008,0,0
"528","005","18",2005,0,0
"529","005","18",2006,0,0
"530","005","18",2007,0,0
"531","005","18",2014,0,0
"532","005","20",2005,0,0
"533","005","20",2006,0,0
"534","005","20",2009,0,0
"535","005","20",2010,0,0
"536","005","20",2011,0,0
"537","005","21",2011,0,0
"538","005","21",2015,0,0
"539","005","21",2016,0,0
"540","005","22",2005,0,0
"541","005","22",2010,0,0
"542","005","22",2011,0,0
"543","005","22",2012,0,0
"544","005","22",2013,0,0
"545","005","23",2005,0,0
"546","005","23",2006,0,0
"547","005","23",2007,1,1
"548","005","23",2008,0,0
"549","005","23",2009,1,1
"550","005","23",2010,0,0
"551","005","23",2011,0,0
"552","005","23",2012,0,0
"553","005","23",2013,0,0
"554","005","23",2014,0,0
"555","005","23",2015,0,0
"556","005","23",2016,0,0
"557","005","24",2005,0,0
"558","005","24",2006,0,0
"559","005","24",2007,0,0
"560","005","24",2008,0,0
"561","005","24",2009,0,0
"562","005","24",2010,0,0
"563","005","24",2011,0,0
"564","005","24",2012,0,0
"565","005","24",2013,0,0
"566","005","24",2015,0,0
"567","005","24",2016,0,0
"568","005","25",2005,0,0
"569","005","25",2006,0,0
"570","005","25",2007,0,0
"571","005","25",2008,0,0
"572","005","25",2009,0,0
"573","005","25",2010,0,0
"574","005","25",2011,0,0
"575","005","25",2012,0,0
"576","005","25",2013,0,0
"577","005","25",2014,1,1
"578","005","25",2015,0,0
"579","005","25",2016,0,0
"580","005","26",2005,0,0
"581","005","26",2006,0,0
"582","005","26",2007,0,0
"583","005","26",2008,0,0
"584","005","26",2009,0,0
"585","005","26",2010,0,0
"586","005","26",2012,0,0
"587","005","26",2013,0,0
"588","005","26",2014,0,0
"589","005","26",2015,0,0
"590","005","26",2016,0,0
"591","005","32",2006,0,0
"592","005","33",2005,0,0
"593","005","33",2006,0,0
"594","005","33",2007,0,0
"595","005","33",2008,0,0
"596","005","33",2010,0,0
"597","005","33",2011,0,0
"598","005","33",2012,0,0
"599","005","33",2013,0,0
"600","005","33",2015,0,0
"601","005","33",2016,0,0
"602","005","34",2005,1,1
"603","005","34",2006,0,0
"604","005","34",2007,0,0
"605","005","34",2008,0,0
"606","005","34",2009,0,0
"607","005","34",2010,0,0
"608","005","34",2011,0,0
"609","005","34",2012,1,1
"610","005","34",2013,0,0
"611","005","34",2014,0,0
"612","005","34",2015,0,0
"613","005","34",2016,0,0
"614","005","36",2007,0,0
"615","005","36",2009,0,0
"616","005","39",2005,0,0
"617","005","39",2009,0,0
"618","005","39",2010,0,0
"619","005","39",2011,0,0
"620","005","39",2013,0,0
"621","005","39",2014,0,0
"622","005","39",2015,0,0
"623","005","39",2016,0,0
"624","005","40",2010,0,0
"625","005","41",2005,0,0
"626","005","41",2006,0,0
"627","005","41",2007,0,0
"628","005","41",2008,0,0
"629","005","41",2009,0,0
"630","005","41",2010,0,0
"631","005","41",2011,0,0
"632","005","41",2016,1,1
"633","005","44",2005,0,0
"634","005","44",2006,0,0
"635","005","44",2008,0,0
"636","005","44",2009,0,0
"637","005","44",2010,0,0
"638","005","44",2012,0,0
"639","005","44",2013,0,0
"640","005","44",2015,0,0
"641","005","44",2016,0,0
"642","005","45",2005,0,0
"643","005","45",2009,0,0
"644","005","45",2011,0,0
"645","005","47",2006,0,0
"646","005","47",2011,0,0
"647","005","47",2014,0,0
"648","005","49",2006,0,0
"649","005","49",2010,0,0
"650","005","49",2012,0,0
"651","005","49",2013,0,0
"652","005","49",2016,0,0
"653","005","50",2005,0,0
"654","005","50",2006,0,0
"655","005","50",2007,0,0
"656","005","50",2008,0,0
"657","005","50",2009,0,0
"658","005","50",2012,0,0
"659","005","50",2016,0,0
"660","005","51",2016,0,0
"661","005","53",2005,0,0
"662","005","53",2006,0,0
"663","005","53",2007,0,0
"664","005","53",2008,1,1
"665","005","53",2009,0,0
"666","005","53",2010,0,0
"667","005","53",2011,0,0
"668","005","53",2012,0,0
"669","005","53",2013,0,0
"670","005","53",2015,0,0
"671","005","53",2016,0,0
"672","005","54",2008,0,0
"673","005","56",2006,0,0
"674","005","56",2007,0,0
"675","005","56",2009,0,0
"676","005","56",2013,0,0
"677","005","56",2015,0,0
"678","005","56",2016,0,0
"679","007","05",2005,0,0
"680","007","05",2006,0,0
"681","007","05",2007,0,0
"682","007","05",2008,0,0
"683","007","05",2009,0,0
"684","007","05",2010,1,1
"685","007","05",2011,0,0
"686","007","05",2012,0,0
"687","007","05",2013,0,0
"688","007","05",2014,0,0
"689","007","06",2005,0,0
"690","007","06",2006,0,0
"691","007","06",2007,0,0
"692","007","06",2008,0,0
"693","007","06",2009,0,0
"694","007","06",2010,0,0
"695","007","06",2011,0,0
"696","007","06",2012,0,0
"697","007","06",2013,0,0
"698","007","06",2014,0,0
"699","007","06",2015,0,0
"700","007","06",2016,0,0
"701","007","08",2010,0,0
"702","007","09",2005,0,0
"703","007","09",2006,0,0
"704","007","09",2007,0,0
"705","007","09",2008,0,0
"706","007","09",2009,0,0
"707","007","09",2010,0,0
"708","007","09",2011,0,0
"709","007","09",2012,0,0
"710","007","09",2013,0,0
"711","007","09",2014,0,0
"712","007","09",2015,0,0
"713","007","09",2016,0,0
"714","007","16",2013,0,0
"715","007","21",2009,0,0
"716","007","21",2010,0,0
"717","007","21",2011,0,0
"718","007","21",2012,0,0
"719","007","21",2015,0,0
"720","007","23",2005,0,0
"721","007","23",2006,0,0
"722","007","23",2008,0,0
"723","007","23",2015,0,0
"724","007","23",2016,0,0
"725","007","25",2011,0,0
"726","007","25",2012,0,0
"727","007","25",2013,0,0
"728","007","25",2014,0,0
"729","007","25",2015,0,0
"730","007","25",2016,0,0
"731","007","26",2005,0,0
"732","007","26",2006,0,0
"733","007","26",2008,0,0
"734","007","26",2010,0,0
"735","007","26",2012,0,0
"736","007","26",2013,0,0
"737","007","27",2005,1,3
"738","007","27",2006,1,2
"739","007","27",2007,1,2
"740","007","27",2008,0,0
"741","007","27",2009,1,1
"742","007","27",2010,0,0
"743","007","27",2011,0,0
"744","007","27",2012,1,1
"745","007","27",2013,0,0
"746","007","29",2009,0,0
"747","007","30",2016,0,0
"748","007","32",2005,0,0
"749","007","32",2006,0,0
"750","007","32",2008,0,0
"751","007","32",2011,0,0
"752","007","32",2013,0,0
"753","007","33",2005,0,0
"754","007","33",2008,0,0
"755","007","33",2009,0,0
"756","007","33",2011,0,0
"757","007","33",2012,0,0
"758","007","33",2014,0,0
"759","007","34",2005,0,0
"760","007","34",2006,0,0
"761","007","34",2007,0,0
"762","007","34",2008,0,0
"763","007","34",2009,0,0
"764","007","34",2010,0,0
"765","007","34",2011,0,0
"766","007","34",2012,1,1
"767","007","34",2013,0,0
"768","007","34",2014,0,0
"769","007","34",2015,0,0
"770","007","34",2016,0,0
"771","007","36",2005,0,0
"772","007","36",2006,0,0
"773","007","36",2007,0,0
"774","007","36",2008,0,0
"775","007","36",2009,0,0
"776","007","36",2010,0,0
"777","007","36",2011,0,0
"778","007","36",2012,0,0
"779","007","36",2013,0,0
"780","007","36",2014,0,0
"781","007","36",2015,0,0
"782","007","36",2016,0,0
"783","007","37",2010,0,0
"784","007","37",2011,0,0
"785","007","37",2013,0,0
"786","007","39",2007,0,0
"787","007","39",2012,0,0
"788","007","39",2015,0,0
"789","007","39",2016,0,0
"790","007","41",2006,0,0
"791","007","41",2007,0,0
"792","007","41",2009,0,0
"793","007","41",2010,0,0
"794","007","42",2007,0,0
"795","007","42",2008,0,0
"796","007","42",2011,0,0
"797","007","42",2014,0,0
"798","007","42",2015,0,0
"799","007","44",2005,0,0
"800","007","44",2006,0,0
"801","007","44",2007,1,4
"802","007","44",2008,1,1
"803","007","44",2009,0,0
"804","007","44",2010,0,0
"805","007","44",2011,0,0
"806","007","44",2012,0,0
"807","007","44",2013,0,0
"808","007","44",2014,0,0
"809","007","44",2015,0,0
"810","007","44",2016,0,0
"811","007","45",2005,0,0
"812","007","45",2006,0,0
"813","007","45",2007,0,0
"814","007","45",2008,0,0
"815","007","45",2009,0,0
"816","007","45",2010,0,0
"817","007","45",2011,0,0
"818","007","45",2012,0,0
"819","007","45",2013,0,0
"820","007","45",2014,0,0
"821","007","45",2015,0,0
"822","007","45",2016,0,0
"823","007","46",2007,1,1
"824","007","46",2012,0,0
"825","007","47",2012,0,0
"826","007","47",2013,0,0
"827","007","48",2007,0,0
"828","007","49",2008,0,0
"829","007","49",2010,0,0
